id,title,description,availability,condition,price,link,image_link,brand,product_type
11,Cafetera Automática Lirika,"Saeco Lirika Automática La sencillez y rendimiento de una máquina compacta. Diseño moderno y sencillo. Una elevada capacidad en sus depósitos de agua y café e increíblemente fácil de usar. 15 bares de presión. Capacidad de 2,5 lts de agua y 500 gr de café. Pannarello. Molinillo incorporado de cerámica.",out of stock,new,1279999.20 ARS,https://www.theblueboxmarket.com/product/11-Cafetera+Automatica+Lirika+Lirika+Saeco+/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Clur-C_a/1/4799cbe094b0/medium/491c38e0-a42f-47c4-978e-83ac2d918de8.webp,Saeco,
214,Degustación Chips 140gr x 24u.,"Saborice sus asados de forma natural con Chips de leña de 140gr 6 unidades de ESPINILLO - 6 unidades de NOGAL - 6 unidades de OLIVO - 6 unidades de MANZANO Agréguelos sueltos o en con su bandeja a las brasas y ahume sus asados sin complicarse con la leña. Son muy fácil de usar y a través del humo aromático aportan increíble sabor ahumado a sus comidas. Utilícelos también en Parrillas a Gas, Eléctricas, Hornos de Barro, Hornos a Leña, Ahumadores, Kamados y más! Presentación: Caja por 140g",in stock,new,47699.10 ARS,https://www.theblueboxmarket.com/product/214-Degustaciyn-Chips-140gr-x-24u-140-gr-x-24u-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/unknown/8f66e1bd00a4/medium/bff27bb3-69bb-48dc-a5c2-bd06d938dda3.webp,Humos,
215,Parrilla a Carbón,"Parrilla a carbón rodante totalmente esmaltada, anti rayaduras. Esta parrilla está hecha para durar. Tiene 3 funciones: - Parrilla calor directo - Parrilla calo indkrecto efecto horno - Parrilla ahumadora ahrrgando Chips",in stock,new,212499.15 ARS,https://www.theblueboxmarket.com/product/215-Parrilla-a-Carbyn-Boy-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/unknown/88d16691df5c/medium/ecde599b-ae98-4887-83bc-4fa7790bc969.webp,Humos,
217,Ahumador Fat Boy,"El ahumador a carbón Humos lo podés usar como parrilla, horno y para ahumar con chips de leña Humos.Trae un termómetro incorporado en la tapa, una base interna para líquidos para que mantengas la humedad ideal de la cocción, entrada de aires inferior y superior.3 en 1:&nbsp;HORNO + AHUMADOR + PARRILLA? Doble Parrilla en altura (42 cm diámetro)? Doble control de aire superior e inferior? Reloj superior para medir la temperatura? Recipiente para líquido y carbón&nbsp;esmaltados con estructura para",in stock,new,276250.00 ARS,https://www.theblueboxmarket.com/product/217-Ahumador-Fat-Boy-FatBoy-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/unknown/6b6fabfbfb6b/medium/0c37928d-6ebb-4611-a995-d5022dcceb1b.webp,Humos,
219,Caja Ahumadora,"¡Dele a sus asados un increíble toque ahumado natural de forma muy sencilla! IDEAL PARA PARRILLAS A GAS! 100% acero inoxidable. Soporta llama directa de mecheros a gas, resistencia eléctrica y brasas. Funciona con chips de leña Humos. Elija entre las diferentes maderas para lograr un sabor único: espinillo, nogal, olivo y manzano.",in stock,new,45049.15 ARS,https://www.theblueboxmarket.com/product/219-Caja-Ahumadora-Caja-Inoxidable-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/unknown/847b129f2348/medium/a51a3f1c-73ac-4f78-bf6e-6c412168f830.webp,Humos,
221,Herramientas Asador,Pinza + Cuchillo + Tenedor Caja Cartón con Herramientas a la vista 100% hechas de Acero Inoxidable. Grip antideslizante para un agarre cómodo. Anillo para colgar las herramientas. Largo ideal para Parrillas.,in stock,new,79049.15 ARS,https://www.theblueboxmarket.com/product/221-Herramientas-Asador-Caja-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/7798142850210/d0c715869996/medium/6583d75c-455f-4356-8324-91ff008e1725.webp,Humos,
222,Herramientas Asador con Maletín,Pinza + Cuchillo + Tenedor Maletín de aluminio con herramientas 100% hechas de Acero Inoxidable. Grip antideslizante para un agarre cómodo. Anillo para colgar las herramientas. Largo ideal para Parrillas.,in stock,new,124949.15 ARS,https://www.theblueboxmarket.com/product/222-Herramientas-Asador-con-Maletyn-Maletyn-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/7798142850227/395cc5537cc8/medium/68433b8b-1c24-4515-b491-990496f7b52d.webp,Humos,
546,Kamado Gran Asador Criollo,"KAMADO ARGENTINO GRAN ASADOR CRIOLLOEl más grande de toda la familia, ideal para tener en el jardín, el quincho o en terrazas. Pensado crear los platos más increíbles para hasta 25 personas. Versátil y seguro, te permite cocinar por más de 10 horas con una sola carga de 3kg de carbón. Perniles ahumados, costillares asados, pizzas horneadas, vegetales al wok o lo que te imagines, podés hacerlo realidad dentro de tu Kamado Argentino Gran Asador Criollo.CAPACIDAD:7 kg de tira de asado12 kg de bondi",in stock,new,3518985.00 ARS,https://www.theblueboxmarket.com/product/546-Kamado-Gran-Asador-Criollo-Gran-Asador-Criollo-Kamado-Argentino/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Sematryn/57015513/f522d06ab139/medium/151c9b0a-cc33-4c62-a483-c2c930bc104f.webp,Kamado Argentino,
683,Barril Ahumador a Carbón,Ahumador Barril A Carbón - 3 Niveles (2 Parrillas + Gancho Para Colgar)Horno + Ahumador + ParrillaPosee:- 2 Parrillas- Ganchos Para Colgar- Reloj De Temperatura- Recipiente Para Líquidos- Parrilla Superior Con Tapa Para Pizzas- Puerta De Acceso Al Carbón,out of stock,new,254999.15 ARS,https://www.theblueboxmarket.com/product/683-Barril-Ahumador-a-Carbyn-Bad-Boy-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/unknown/4cf37c9d534f/medium/e44d4d5c-95f1-48e3-a194-0f463aca9016.webp,Humos,
684,Sal con Mix de Especias Combo 6u.,Combo 6 unidades de sal con mix especias para asados -sin gluten- libre de t.a.c.c.Incluye:- 2 unidad sal mix especias carne vacuna de 250gr -sin gluten- libre de t.a.c.c.- 2 unidad sal mix especias cerdo de 250gr -sin gluten- libre de t.a.c.c.- 2 unidad sal mix especias pollo de 250gr -sin gluten- libre de t.a.c.c.SALES ESPECIADAS X 6 UN: EXCESO DE SODIO,in stock,new,29699.10 ARS,https://www.theblueboxmarket.com/product/684-Sal-con-Mix-de-Especias-Combo-6u-Humos/,https://products-service-files-pe-prod.s3.us-east-2.amazonaws.com/product-images/Humos/unknown/98157b789cf9/medium/d0588190-b890-4cd3-8f1c-cafb82ca873c.webp,Humos,
